Date, Close/Last, Volume, Open, High, Low
4/2/2020,$272.99 ,1258781,$254.40 ,$273.84 ,$254.16 
4/1/2020,$256.46 ,1915349,$265.92 ,$270 ,$251.14 
3/31/2020,$273.12 ,1686195,$271.35 ,$276.06 ,$267.90 
3/30/2020,$276.23 ,1717447,$266.79 ,$277.32 ,$266.04 
3/27/2020,$269.05 ,1360713,$264.52 ,$270.49 ,$259.71 
3/26/2020,$274.42 ,1792240,$252.12 ,$276.62 ,$250.43 
3/25/2020,$248.32 ,1722537,$251.14 ,$259.21 ,$247.31 
3/24/2020,$254.18 ,1758766,$247.59 ,$255 ,$243.87 
3/23/2020,$237.76 ,2088263,$239.64 ,$250 ,$234.54 
3/20/2020,$242 ,3159461,$232.24 ,$252.95 ,$229 
3/19/2020,$224.80 ,1738491,$208.15 ,$229.80 ,$199 
3/18/2020,$209.20 ,1885672,$214.42 ,$224.99 ,$196.78 
3/17/2020,$225.76 ,1701179,$214.89 ,$232.47 ,$207.49 
3/16/2020,$211.02 ,1908262,$210.30 ,$228.54 ,$205.78 
3/13/2020,$233.33 ,2481026,$232.53 ,$235.50 ,$211.24 
3/12/2020,$223.28 ,2318761,$229.83 ,$235.60 ,$222.32 
3/11/2020,$246.01 ,1860301,$261.43 ,$263.93 ,$241.47 
3/10/2020,$268.15 ,1466584,$266.80 ,$270.69 ,$257.23 
3/9/2020,$259.80 ,1678603,$257.64 ,$268.38 ,$255.36 
3/6/2020,$274.42 ,1117741,$265.96 ,$275.82 ,$265.96 
3/5/2020,$276.02 ,1079826,$273.95 ,$280.02 ,$272.37 
3/4/2020,$282.13 ,956047,$276 ,$282.42 ,$273.10 
3/3/2020,$273 ,1353976,$277.40 ,$285.34 ,$270.72 
3/2/2020,$278.28 ,1768278,$268.02 ,$278.39 ,$265.35 
2/28/2020,$265.67 ,2678249,$253.74 ,$265.88 ,$252.43 
2/27/2020,$259.93 ,2319025,$268.49 ,$273.64 ,$258.97 
2/26/2020,$274.70 ,1423789,$271.96 ,$280.78 ,$271.05 
2/25/2020,$269.95 ,1605162,$282.65 ,$282.99 ,$269.04 
2/24/2020,$281.12 ,1444305,$288.34 ,$289.67 ,$279 
2/21/2020,$295.94 ,722473,$300 ,$301.43 ,$294.79 
2/20/2020,$300.46 ,698094,$304 ,$305.39 ,$297.73 
2/19/2020,$303.20 ,1338963,$301.68 ,$305.45 ,$300.50 
2/18/2020,$299.92 ,813898,$299 ,$300.07 ,$296.91 
2/14/2020,$298.92 ,1494467,$292.92 ,$300.07 ,$292.09 
2/13/2020,$291.38 ,2215412,$292.64 ,$293.62 ,$290.56 
2/12/2020,$293.28 ,1872066,$297.63 ,$298.29 ,$291.53 
2/11/2020,$296 ,3528533,$296.90 ,$298.74 ,$295.09 
2/10/2020,$294.41 ,1219558,$294.36 ,$295.56 ,$293.50 
2/7/2020,$294.30 ,1125358,$301 ,$301.37 ,$293.81 
2/6/2020,$301.23 ,706454,$302.75 ,$302.99 ,$299.81 
2/5/2020,$300.35 ,1839730,$300.28 ,$302.54 ,$297.61 
2/4/2020,$296 ,1109986,$297.78 ,$298.99 ,$295.79 
2/3/2020,$293.41 ,1040078,$293.10 ,$296.18 ,$292.13 
1/31/2020,$290.07 ,1460536,$296.24 ,$296.83 ,$288.86 
1/30/2020,$296 ,3328257,$297.50 ,$315.24 ,$295.25 
1/29/2020,$313.30 ,1255969,$315 ,$316.51 ,$312.11 
1/28/2020,$314.28 ,1129209,$315.46 ,$316.66 ,$312.42 
1/27/2020,$313.92 ,859132,$314.62 ,$316.75 ,$311.46 
1/24/2020,$319.58 ,1070289,$327.72 ,$328.31 ,$318.28 
1/23/2020,$327 ,944376,$330.32 ,$330.61 ,$326.66 
1/22/2020,$331 ,826072,$328.76 ,$332.62 ,$328.18 
1/21/2020,$328.33 ,1289553,$323.22 ,$330.53 ,$322.13 
1/17/2020,$324.72 ,1122799,$327.73 ,$327.93 ,$320.46 
1/16/2020,$325.96 ,722654,$323.43 ,$326.45 ,$321.59 
1/15/2020,$320.39 ,1178566,$320 ,$322.17 ,$318.02 
1/14/2020,$317.11 ,2174439,$324.08 ,$325.49 ,$317.03 
1/13/2020,$323.15 ,2338846,$335.91 ,$337.81 ,$312.83 
1/10/2020,$335.53 ,951472,$336.61 ,$339.63 ,$333.66 
1/9/2020,$334.60 ,879666,$334.99 ,$336.97 ,$332.64 
1/8/2020,$332.16 ,679696,$328.32 ,$334.50 ,$326.74 
1/7/2020,$329.69 ,789234,$328.21 ,$331.17 ,$326.11 
1/6/2020,$325.53 ,760871,$320.97 ,$325.71 ,$318.77 
1/3/2020,$322.73 ,1346075,$322.49 ,$325.14 ,$321.01 
1/2/2020,$327 ,777107,$329.05 ,$332.85 ,$323.29 
